fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Guayaramerin,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,CRISTO ASCENCION,450.0,
2026-09-14,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-14,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,10000.0,
2026-09-14,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,12000.0,
2026-09-14,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,16000.0,
2026-09-14,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,13000.0,
2026-09-12,Guayaramerin,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,CRISTO ASCENCION,450.0,
2026-09-12,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-12,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,20000.0,
2026-09-12,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,20000.0,
2026-09-12,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,30000.0,
2026-09-12,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,20000.0,
2026-09-11,Guayaramerin,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,COOP DE SERVICIOS PUBLICOS DE AGUAS POTABLES Y ALCANTARILLADO GUAYARAMERIN R.L.,5000.0,
2026-09-11,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-11,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,12000.0,
2026-09-11,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-11,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,17000.0,
2026-09-11,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-10,Guayaramerin,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,CRISTO ASCENCION,450.0,
2026-09-10,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-10,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,12000.0,
2026-09-10,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-10,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,17000.0,
2026-09-10,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-09,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-09,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,12000.0,
2026-09-09,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-09,Guayaramerin,GASOLINA ESPECIAL CF,Gasolina Especial,GASOLINA_ESPECIAL,ARCA DE ISRAEL,10000.0,
2026-09-09,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,17000.0,
2026-09-09,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-09,Guayaramerin,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,RIOYATA MADERA IMPORT EXPORT SRL,19000.0,
2026-09-08,Guayaramerin,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,5000.0,
2026-09-08,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,10000.0,
2026-09-08,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACIÓN SERVICIO LAGO AZUL,12000.0,
2026-09-08,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,17000.0,
2026-09-08,Guayaramerin,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACIÓN SERVICIO LAGO AZUL,14000.0,
2026-09-08,Guayaramerin,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,RIOYATA MADERA IMPORT EXPORT SRL,19000.0,
2026-09-07,Guayaramerin,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TERESA DATZER C. - EST. SERV. LA PERLA DEL MAMORE,10000.0,
