fecha_despacho_efectivo,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito
2026-09-14,2026-09-14,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS MARGAS S.R.L,1271-EXY,GLP,GLP,
2026-09-14,2026-09-14,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,2000.0,L,GRUPO LDC S.R.L.,1369-ZEG,GLP,GLP,
2026-09-04,2026-09-04,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,2000.0,L,GRUPO LDC S.R.L.,1369-ZEG,GLP,GLP,
2026-09-04,2026-09-04,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS MARGAS S.R.L,4784-HGX,GLP,GLP,
2026-09-03,2026-09-03,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,10000.0,L,ESTACION DE SERVICIO LIDO S.R.L.,086-BER,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-03,2026-09-03,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,2000.0,L,GRUPO LDC S.R.L.,718-FZT,GLP,GLP,
2026-09-03,2026-09-03,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS MARGAS S.R.L,4784-HGX,GLP,GLP,
2026-09-03,2026-09-03,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,10000.0,L,PUERTO S.R.L,1767-PNY,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-02,2026-09-02,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,2000.0,L,GRUPO LDC S.R.L.,718-FZT,GLP,GLP,
2026-09-02,2026-09-02,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,10000.0,L,ESTACION DE SERVICIO LIDO S.R.L.,086-BER,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-02,2026-09-02,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS MARGAS S.R.L,4784-HGX,GLP,GLP,
2026-09-02,2026-09-02,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,15000.0,L,PUERTO S.R.L,1767-PNY,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-01,2026-09-01,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,2000.0,L,GRUPO LDC S.R.L.,1369-ZEG,GLP,GLP,
2026-09-01,2026-09-01,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,15000.0,L,PUERTO S.R.L,1767-PNY,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-01,2026-09-01,True,False,Zona Comercial Puerto Suarez,GASOLINA ESPECIAL EESS,10000.0,L,ESTACION DE SERVICIO LIDO S.R.L.,086-BER,Gasolina Especial,GASOLINA_ESPECIAL,
2026-09-01,2026-09-01,True,False,Zona Comercial Puerto Suarez,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS MARGAS S.R.L,4784-HGX,GLP,GLP,
