fecha_despacho_efectivo,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito,fecha_despacho_efectivo_hora,estacion
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP ECO GAS UYUNI,3119-PRT,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTR. GLP SUR GAS UYUNI,1078-FXF,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP SUR GAS UYUNI,1078-FXF,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP SUR GAS UYUNI,3092-ALS,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP SOL GAS UYUNI,2823-ULU,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP SOL GAS UYUNI,1783-XNR,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTR. GLP SOL GAS UYUNI,1198NBD,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,500.0,L,DISTR. GLP SOL GAS UYUNI,2712-SZD,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP SOL GAS UYUNI,1783-XNR,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTR. GLP SOL GAS UYUNI,1198NBD,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP ECO GAS UYUNI,3119-PRT,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP ECO GAS UYUNI,3119-PRT,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1500.0,L,DISTR. GLP SUR GAS UYUNI,3092-ALS,GLP,GLP,,,
2026-09-11,2026-09-11,True,False,Uyuni,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP SUR GAS UYUNI,2797-KLC,GLP,GLP,,,
